Citroen;C-Elysee;1.6 VTi AT (115 hp);1165;ICEV-p;Lower medium
Citroen;C-Elysee;1.6 VTi MT (115 hp);1165;ICEV-p;Lower medium
Opel;Zafira;1.4 Turbo AT (140 hp);1589;ICEV-p;Van
Opel;Zafira;1.4 Turbo MT (140 hp);1589;ICEV-p;Van
Opel;Zafira;1.6 AT (170 hp);1701;ICEV-p;Van
Ford;GT;5.4 T MT (558 hp);1520;ICEV-p;Medium
Ford;GT;5.4 T MT EU-spec (549 hp);1580;ICEV-p;Medium
Hyundai;ix20;1.4 CRDi MT (90 hp);1270;ICEV-d;Lower medium
Hyundai;ix20;1.4 MT (90 hp);1178;ICEV-p;Lower medium
Hyundai;ix20;1.4 MT blue (90 hp);1178;ICEV-p;Lower medium
Hyundai;ix20;1.6 AT (125 hp);1194;ICEV-p;Lower medium
Hyundai;ix20;1.6 MT (125 hp);1180;ICEV-p;Lower medium
Hyundai;ix20;1.6 MT blue (125 hp);1180;ICEV-p;Lower medium
Infiniti;Q50;2.0 T AT (211 hp);1642;ICEV-p;Large
Infiniti;Q50;3.5 AT AWD Hybrid (298 hp);1861;HEV-p;Large
Opel;Zafira;1.8 MT (115 hp);1589;ICEV-p;Van
Opel;Zafira;1.8 Turbo MT (140 hp);1589;ICEV-p;Van
Opel;Zafira;2.0 CDTI AT (130 hp);1589;ICEV-d;Van
Kia;Cadenza;3.3 GDI AT (290 hp);1648;ICEV-p;Large
Nissan;GT-R;3.8 GR6 (570 hp);1752;ICEV-p;Large
Opel;Zafira;2.0 CDTI MT (130 hp);1589;ICEV-d;Van
Opel;Zafira;1.6 MT (100 hp);1275;ICEV-p;Van
Opel;Zafira;1.8 AT (115 hp);1330;ICEV-p;Van
Opel;Zafira;1.8 AT (125 hp);1365;ICEV-p;Van
Peugeot;301;1.6 VTi AT (115 hp);1165;ICEV-p;Lower medium
Peugeot;301;1.6 VTi MT (115 hp);1165;ICEV-p;Lower medium
Peugeot;408;1.6 VTi AT (120 hp);1398;ICEV-p;Lower medium
Peugeot;408;1.6 THP AT (150 hp);1419;ICEV-p;Lower medium
Peugeot;408;1.6 MT (110 hp);1375;ICEV-p;Lower medium
Peugeot;408;1.6 VTi MT (120 hp);1374;ICEV-p;Lower medium
Peugeot;408;1.6 HDI MT (112 hp);1400;ICEV-d;Lower medium
Opel;Zafira;1.8 MT (115 hp);1295;ICEV-p;Van
Opel;Zafira;1.8 MT (125 hp);1345;ICEV-p;Van
Opel;Zafira;2.0 DI MT (82 hp);1405;ICEV-d;Van
Subaru;BRZ;2.0 AT (200 hp);1258;ICEV-p;Lower medium
Subaru;BRZ;2.0 MT (200 hp);1202;ICEV-p;Lower medium
Opel;Zafira;2.0 DTI MT (100 hp);1460;ICEV-d;Van
Opel;Zafira;2.2 AT (147 hp);1395;ICEV-p;Van
Opel;Zafira;2.2 MT (147 hp);1395;ICEV-p;Van
Opel;Zafira;2.2 DTI MT (125 hp);1460;ICEV-d;Van
Chevrolet;Cruze;1.6 AT (109 hp);1310;ICEV-p;Lower medium
Chevrolet;Cruze;1.6 MT (109 hp);1285;ICEV-p;Lower medium
Chevrolet;Cruze;1.7 TD MT (130 hp);1425;ICEV-d;Lower medium
Chevrolet;Cruze;1.8 AT (141 hp);1315;ICEV-p;Lower medium
Chevrolet;Cruze;1.8 MT (141 hp);1290;ICEV-p;Lower medium
Chevrolet;Cruze;1.4 Turbo MT (140 hp);1319;ICEV-p;Lower medium
Chevrolet;Cruze;1.6 AT (109 hp);1315;ICEV-p;Lower medium
Chevrolet;Cruze;1.6 MT (109 hp);1305;ICEV-p;Lower medium
Chevrolet;Cruze;1.7 TD MT (110 hp);1429;ICEV-d;Lower medium
Chevrolet;Cruze;1.7 TD MT (130 hp);1429;ICEV-d;Lower medium
Chevrolet;Cruze;1.8 AT (141 hp);1319;ICEV-p;Lower medium
Chevrolet;Cruze;1.8 MT (141 hp);1310;ICEV-p;Lower medium
Chevrolet;Cruze;1.4 Turbo AT (140 hp);1415;ICEV-p;Lower medium
Chevrolet;Cruze;1.4 Turbo MT (140 hp);1405;ICEV-p;Lower medium
Chevrolet;Cruze;1.6 MT (124 hp);1360;ICEV-p;Lower medium
Chevrolet;Cruze;1.7 TD MT (110 hp);1405;ICEV-d;Lower medium
Chevrolet;Cruze;1.7 TD MT (130 hp);1405;ICEV-d;Lower medium
Chevrolet;Cruze;1.8 AT (141 hp);1400;ICEV-p;Lower medium
Chevrolet;Cruze;1.8 MT (141 hp);1370;ICEV-p;Lower medium
Chevrolet;Cruze;2.0 TD AT (163 hp);1405;ICEV-d;Lower medium
Chevrolet;Cruze;2.0 TD MT (163 hp);1405;ICEV-d;Lower medium
Opel;Zafira;1.6 MT (115 hp);1505;ICEV-p;Van
Opel;Zafira;1.6 CNG MT (94 hp);1565;ICEV-g;Van
Opel;Zafira;1.7 CDTI MT (110 hp);1513;ICEV-d;Van
Opel;Zafira;1.7 CDTI MT (125 hp);1513;ICEV-d;Van
Opel;Zafira;1.8 Easytronic (140 hp);1505;ICEV-p;Van
Opel;Zafira;1.8 LPG MT (140 hp);1403;ICEV-g;Van
Opel;Zafira;1.8 MT (140 hp);1505;ICEV-p;Van
Citroen;C4;1.6 VTi AT (120 hp);1340;ICEV-p;Lower medium
Citroen;C4;1.6 VTi MT (116 hp);1330;ICEV-p;Lower medium
Opel;Zafira;1.9 CDTi AT (120 hp);1650;ICEV-d;Van
Opel;Zafira;1.9 CDTi AT (150 hp);1643;ICEV-d;Van
Opel;Zafira;1.9 CDTI MT (150 hp);1528;ICEV-d;Van
Opel;Zafira;2.2 AT (150 hp);1503;ICEV-p;Van
Opel;Zafira;2.2 MT (150 hp);1470;ICEV-p;Van
Opel;Zafira;1.6 MT (100 hp);1293;ICEV-p;Van
Opel;Zafira;1.8 AT (125 hp);1355;ICEV-p;Van
Citroen;DS3;1.4 VTi MT (95 hp);1075;ICEV-p;Small
Citroen;DS3;1.6 VTi MT (120 hp);1075;ICEV-p;Small
Dacia;Logan;1.5 D MT (86 hp);1150;ICEV-d;Lower medium
Dacia;Logan;1.5 D MT (68 hp);1140;ICEV-d;Lower medium
Dodge;Challenger;3.5 V6 4AT SE (253 hp);1687;ICEV-p;Large
