Country code;Country name;Year;Hydro;Nuclear;Gas;Gas CHP;Solar;Wind;Other Renewables;Biomass;CSP;Coal;Oil;Coal CCS;Gas CCS;CHP;IGCC;Geothermal;Waste
AT;Austria;2016;0.67;0.00;0.12;0.00;0.01;0.08;0.06;0.00;0.00;0.05;0.02;0.00;0.00;0.00;0.00;0.00;0.00
AT;Austria;2021;0.47;0.00;0.27;0.00;0.01;0.13;0.09;0.00;0.00;0.03;0.00;0.00;0.00;0.00;0.00;0.00;0.00
AT;Austria;2030;0.48;0.00;0.24;0.00;0.04;0.13;0.11;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
AT;Austria;2040;0.53;0.00;0.25;0.00;0.04;0.07;0.11;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
AT;Austria;2050;0.52;0.00;0.16;0.00;0.05;0.16;0.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
AU;Australia;2015;0.08;0.00;0.11;0.00;0.05;0.12;0.04;0.04;0.00;0.57;0.00;0.00;0.00;0.00;0.00;0.00;0.00
AU;Australia;2016;0.08;0.00;0.12;0.00;0.08;0.11;0.04;0.03;0.00;0.53;0.00;0.00;0.00;0.00;0.00;0.00;0.00
AU;Australia;2020;0.07;0.00;0.13;0.00;0.17;0.14;0.03;0.03;0.00;0.43;0.00;0.00;0.00;0.00;0.01;0.00;0.00
AU;Australia;2025;0.07;0.00;0.09;0.00;0.25;0.13;0.02;0.03;0.00;0.42;0.00;0.00;0.00;0.00;0.01;0.00;0.00
AU;Australia;2030;0.06;0.00;0.11;0.00;0.28;0.10;0.02;0.02;0.00;0.40;0.00;0.00;0.00;0.00;0.01;0.00;0.00
AU;Australia;2040;0.04;0.00;0.26;0.00;0.35;0.12;0.02;0.03;0.00;0.17;0.00;0.00;0.00;0.00;0.01;0.00;0.00
AU;Australia;2050;0.04;0.00;0.11;0.00;0.39;0.09;0.01;0.03;0.00;0.00;0.00;0.00;0.32;0.00;0.01;0.00;0.00
BE;Belgium;2015;0.01;0.40;0.34;0.00;0.05;0.07;0.00;0.08;0.00;0.04;0.00;0.00;0.00;0.00;0.00;0.00;0.00
BE;Belgium;2016;0.01;0.42;0.32;0.00;0.05;0.09;0.00;0.08;0.00;0.03;0.00;0.00;0.00;0.00;0.00;0.00;0.00
BE;Belgium;2020;0.00;0.48;0.24;0.00;0.05;0.16;0.00;0.04;0.00;0.00;0.01;0.00;0.00;0.00;0.00;0.00;0.00
BE;Belgium;2025;0.01;0.07;0.56;0.00;0.06;0.24;0.00;0.06;0.00;0.00;0.01;0.00;0.00;0.00;0.00;0.00;0.00
BE;Belgium;2030;0.01;0.00;0.59;0.00;0.06;0.27;0.00;0.07;0.00;0.00;0.01;0.00;0.00;0.00;0.00;0.00;0.00
BE;Belgium;2040;0.01;0.00;0.62;0.00;0.05;0.26;0.00;0.07;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
BE;Belgium;2050;0.01;0.00;0.59;0.00;0.05;0.28;0.00;0.07;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
BG;Bulgaria;2015;0.08;0.32;0.06;0.00;0.02;0.02;0.00;0.00;0.00;0.48;0.01;0.00;0.00;0.00;0.00;0.00;0.00
